"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Mar 2023 01:15:15.889,1 Mar 2023 01:22:10.798,414.909
2,1 Mar 2023 08:51:02.296,1 Mar 2023 08:56:57.354,355.059
3,1 Mar 2023 10:20:29.178,1 Mar 2023 10:30:47.626,618.447
4,1 Mar 2023 11:55:38.071,1 Mar 2023 12:03:15.500,457.429
5,1 Mar 2023 23:14:54.587,1 Mar 2023 23:25:18.315,623.728
6,2 Mar 2023 00:48:20.578,2 Mar 2023 00:56:59.441,518.863
7,2 Mar 2023 08:27:11.836,2 Mar 2023 08:28:59.501,107.666
8,2 Mar 2023 09:54:20.832,2 Mar 2023 10:04:08.001,587.169
9,2 Mar 2023 11:27:34.714,2 Mar 2023 11:37:16.368,581.654
10,2 Mar 2023 22:48:27.629,2 Mar 2023 22:58:14.195,586.566
11,3 Mar 2023 00:21:37.465,3 Mar 2023 00:31:21.498,584.034
12,3 Mar 2023 09:28:41.399,3 Mar 2023 09:37:25.591,524.192
13,3 Mar 2023 11:00:27.605,3 Mar 2023 11:10:50.637,623.032
14,3 Mar 2023 22:22:25.986,3 Mar 2023 22:30:15.384,469.398
15,3 Mar 2023 23:54:58.184,4 Mar 2023 00:05:15.288,617.104
16,4 Mar 2023 01:28:50.741,4 Mar 2023 01:34:35.584,344.843
17,4 Mar 2023 09:03:27.894,4 Mar 2023 09:10:31.284,423.390
18,4 Mar 2023 10:33:45.742,4 Mar 2023 10:44:10.102,624.360
19,4 Mar 2023 12:10:16.962,4 Mar 2023 12:15:49.975,333.013
20,4 Mar 2023 23:28:13.708,4 Mar 2023 23:38:39.400,625.691
21,5 Mar 2023 01:01:46.339,5 Mar 2023 01:09:38.392,472.052
22,5 Mar 2023 08:38:47.440,5 Mar 2023 08:43:14.314,266.874
23,5 Mar 2023 10:07:21.162,5 Mar 2023 10:17:26.978,605.816
24,5 Mar 2023 11:41:27.587,5 Mar 2023 11:50:20.809,533.222
25,5 Mar 2023 23:01:38.943,5 Mar 2023 23:11:51.850,612.907
26,6 Mar 2023 00:34:57.706,6 Mar 2023 00:44:13.728,556.022
27,6 Mar 2023 09:41:27.744,6 Mar 2023 09:50:48.100,560.355
28,6 Mar 2023 11:13:55.402,6 Mar 2023 11:24:05.734,610.332
29,6 Mar 2023 22:35:22.194,6 Mar 2023 22:44:23.323,541.129
