"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Mar 2023 01:14:21.845,1 Mar 2023 01:15:46.491,84.646
2,1 Mar 2023 08:54:33.424,1 Mar 2023 08:58:17.344,223.920
3,1 Mar 2023 10:28:51.504,1 Mar 2023 10:31:06.363,134.859
4,1 Mar 2023 23:13:28.969,1 Mar 2023 23:17:05.035,216.066
5,2 Mar 2023 00:47:05.956,2 Mar 2023 00:50:00.763,174.807
6,2 Mar 2023 08:28:15.835,2 Mar 2023 08:31:24.530,188.696
7,2 Mar 2023 10:01:26.927,2 Mar 2023 10:04:53.079,206.152
8,2 Mar 2023 22:47:08.896,2 Mar 2023 22:49:49.417,160.520
9,3 Mar 2023 00:20:10.478,3 Mar 2023 00:23:47.696,217.218
10,3 Mar 2023 08:02:19.849,3 Mar 2023 08:04:17.143,117.295
11,3 Mar 2023 09:34:28.927,3 Mar 2023 09:38:21.469,232.542
12,3 Mar 2023 23:53:23.851,3 Mar 2023 23:57:18.455,234.604
13,4 Mar 2023 09:07:48.117,4 Mar 2023 09:11:40.601,232.483
14,4 Mar 2023 10:43:09.055,4 Mar 2023 10:43:40.916,31.862
15,4 Mar 2023 23:26:44.920,4 Mar 2023 23:30:33.829,228.909
16,5 Mar 2023 01:00:39.234,5 Mar 2023 01:02:59.120,139.886
17,5 Mar 2023 08:41:22.551,5 Mar 2023 08:44:52.099,209.548
18,5 Mar 2023 10:15:04.499,5 Mar 2023 10:18:03.371,178.872
19,5 Mar 2023 23:00:16.315,5 Mar 2023 23:03:30.871,194.556
20,6 Mar 2023 00:33:36.860,6 Mar 2023 00:36:56.469,199.609
21,6 Mar 2023 08:15:14.126,6 Mar 2023 08:17:53.684,159.558
22,6 Mar 2023 09:47:55.490,6 Mar 2023 09:51:38.689,223.199
23,6 Mar 2023 22:34:12.769,6 Mar 2023 22:35:54.523,101.754
24,7 Mar 2023 00:06:46.214,7 Mar 2023 00:10:34.952,228.738
25,7 Mar 2023 07:49:50.171,7 Mar 2023 07:50:17.626,27.455
26,7 Mar 2023 09:21:06.575,7 Mar 2023 09:25:01.999,235.424
27,7 Mar 2023 23:40:03.350,7 Mar 2023 23:43:58.147,234.797
28,8 Mar 2023 01:14:21.873,8 Mar 2023 01:15:46.439,84.566
29,8 Mar 2023 08:54:33.417,8 Mar 2023 08:58:17.325,223.908
30,8 Mar 2023 10:28:51.469,8 Mar 2023 10:31:06.376,134.906
31,8 Mar 2023 23:13:28.948,8 Mar 2023 23:17:05.028,216.080
32,9 Mar 2023 00:47:05.958,9 Mar 2023 00:50:00.737,174.778
33,9 Mar 2023 08:28:15.835,9 Mar 2023 08:31:24.505,188.670
34,9 Mar 2023 10:01:26.906,9 Mar 2023 10:04:53.077,206.171
35,9 Mar 2023 22:47:08.866,9 Mar 2023 22:49:49.421,160.555
36,10 Mar 2023 00:20:10.473,10 Mar 2023 00:23:47.678,217.205
37,10 Mar 2023 08:02:19.867,10 Mar 2023 08:04:17.101,117.234
38,10 Mar 2023 09:34:28.913,10 Mar 2023 09:38:21.461,232.548
39,10 Mar 2023 23:53:23.840,10 Mar 2023 23:57:18.442,234.602
40,11 Mar 2023 09:07:48.111,11 Mar 2023 09:11:40.587,232.475
41,11 Mar 2023 10:43:08.912,11 Mar 2023 10:43:41.037,32.125
42,11 Mar 2023 23:26:44.903,11 Mar 2023 23:30:33.821,228.917
43,12 Mar 2023 01:00:39.246,12 Mar 2023 01:02:59.085,139.839
44,12 Mar 2023 08:41:22.549,12 Mar 2023 08:44:52.078,209.530
45,12 Mar 2023 10:15:04.473,12 Mar 2023 10:18:03.376,178.903
46,12 Mar 2023 23:00:16.290,12 Mar 2023 23:03:30.871,194.581
47,13 Mar 2023 00:33:36.859,13 Mar 2023 00:36:56.447,199.587
48,13 Mar 2023 08:15:14.135,13 Mar 2023 08:17:53.653,159.517
49,13 Mar 2023 09:47:55.472,13 Mar 2023 09:51:38.685,223.213
50,13 Mar 2023 22:34:12.718,13 Mar 2023 22:35:54.551,101.834
51,14 Mar 2023 00:06:46.207,14 Mar 2023 00:10:34.936,228.730
52,14 Mar 2023 07:49:50.326,14 Mar 2023 07:50:17.451,27.125
53,14 Mar 2023 09:21:06.564,14 Mar 2023 09:25:01.988,235.424
54,14 Mar 2023 23:40:03.337,14 Mar 2023 23:43:58.137,234.800
55,15 Mar 2023 01:14:21.911,15 Mar 2023 01:15:46.379,84.468
56,15 Mar 2023 08:54:33.411,15 Mar 2023 08:58:17.307,223.896
57,15 Mar 2023 10:28:51.427,15 Mar 2023 10:31:06.394,134.967
58,15 Mar 2023 23:13:28.928,15 Mar 2023 23:17:05.024,216.096
59,16 Mar 2023 00:47:05.964,16 Mar 2023 00:50:00.708,174.744
