"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Mar 2023 01:09:41.866,1 Mar 2023 01:20:23.369,641.503
2,1 Mar 2023 02:42:49.052,1 Mar 2023 02:52:06.052,557.000
3,1 Mar 2023 04:15:18.271,1 Mar 2023 04:23:37.480,499.210
4,1 Mar 2023 05:46:59.662,1 Mar 2023 05:55:48.751,529.089
5,1 Mar 2023 07:18:31.594,1 Mar 2023 07:28:45.219,613.625
6,1 Mar 2023 08:50:49.703,1 Mar 2023 09:02:04.866,675.163
7,1 Mar 2023 10:24:32.580,1 Mar 2023 10:35:29.919,657.339
8,1 Mar 2023 12:00:13.344,1 Mar 2023 12:08:41.486,508.142
9,1 Mar 2023 20:03:49.073,1 Mar 2023 20:08:21.499,272.426
10,1 Mar 2023 21:36:17.257,1 Mar 2023 21:45:59.124,581.867
11,1 Mar 2023 23:09:36.943,1 Mar 2023 23:20:52.684,675.741
12,2 Mar 2023 00:43:01.791,2 Mar 2023 00:54:01.504,659.713
13,2 Mar 2023 02:16:15.520,2 Mar 2023 02:25:57.594,582.074
14,2 Mar 2023 03:48:57.954,2 Mar 2023 03:57:26.116,508.162
15,2 Mar 2023 05:20:51.349,2 Mar 2023 05:29:23.027,511.677
16,2 Mar 2023 06:52:19.929,2 Mar 2023 07:02:08.604,588.675
17,2 Mar 2023 08:24:20.119,2 Mar 2023 08:35:23.750,663.631
18,2 Mar 2023 09:57:35.631,2 Mar 2023 10:08:48.800,673.170
19,2 Mar 2023 11:32:38.373,2 Mar 2023 11:42:07.222,568.849
20,2 Mar 2023 13:10:37.802,2 Mar 2023 13:14:22.383,224.580
21,2 Mar 2023 21:09:41.972,2 Mar 2023 21:18:27.616,525.643
22,2 Mar 2023 22:42:55.671,2 Mar 2023 22:53:58.062,662.391
23,3 Mar 2023 00:16:20.847,3 Mar 2023 00:27:33.605,672.758
24,3 Mar 2023 01:49:39.469,3 Mar 2023 01:59:46.751,607.282
25,3 Mar 2023 03:22:33.305,3 Mar 2023 03:31:17.346,524.041
26,3 Mar 2023 04:54:40.778,3 Mar 2023 05:03:01.565,500.788
27,3 Mar 2023 06:26:10.983,3 Mar 2023 06:35:34.361,563.378
28,3 Mar 2023 07:57:56.768,3 Mar 2023 08:08:43.412,646.645
29,3 Mar 2023 09:30:47.355,3 Mar 2023 09:42:07.240,679.885
30,3 Mar 2023 11:05:15.962,3 Mar 2023 11:15:29.686,613.725
31,3 Mar 2023 12:42:06.371,3 Mar 2023 12:48:20.294,373.923
32,3 Mar 2023 20:43:11.637,3 Mar 2023 20:50:41.655,450.018
33,3 Mar 2023 22:16:15.183,3 Mar 2023 22:26:54.208,639.024
34,3 Mar 2023 23:49:39.379,4 Mar 2023 00:00:58.919,679.540
35,4 Mar 2023 01:23:01.453,4 Mar 2023 01:33:32.289,630.837
36,4 Mar 2023 02:56:04.688,4 Mar 2023 03:05:09.811,545.123
37,4 Mar 2023 04:28:26.791,4 Mar 2023 04:36:44.469,497.678
38,4 Mar 2023 06:00:03.397,4 Mar 2023 06:09:03.074,539.677
39,4 Mar 2023 07:31:38.824,4 Mar 2023 07:42:04.233,625.409
40,4 Mar 2023 09:04:07.061,4 Mar 2023 09:15:25.602,678.542
41,4 Mar 2023 10:38:04.528,4 Mar 2023 10:48:50.160,645.633
42,4 Mar 2023 12:14:06.316,4 Mar 2023 12:21:56.686,470.370
43,4 Mar 2023 20:16:51.193,4 Mar 2023 20:22:36.074,344.881
44,4 Mar 2023 21:49:36.046,4 Mar 2023 21:59:40.247,604.201
45,4 Mar 2023 23:22:57.724,4 Mar 2023 23:34:16.769,679.046
46,5 Mar 2023 00:56:21.960,5 Mar 2023 01:07:13.131,651.171
47,5 Mar 2023 02:29:32.636,5 Mar 2023 02:39:02.025,569.388
48,5 Mar 2023 04:02:08.663,5 Mar 2023 04:10:31.384,502.721
49,5 Mar 2023 05:33:55.705,5 Mar 2023 05:42:35.361,519.656
50,5 Mar 2023 07:05:25.341,5 Mar 2023 07:15:26.640,601.299
51,5 Mar 2023 08:37:34.077,5 Mar 2023 08:48:44.228,670.151
52,5 Mar 2023 10:11:02.966,5 Mar 2023 10:22:09.439,666.474
53,5 Mar 2023 11:46:24.139,5 Mar 2023 11:55:24.880,540.741
54,5 Mar 2023 13:25:39.725,5 Mar 2023 13:26:40.925,61.200
55,5 Mar 2023 19:51:01.871,5 Mar 2023 19:53:49.491,167.620
56,5 Mar 2023 21:22:59.148,5 Mar 2023 21:32:14.994,555.846
57,5 Mar 2023 22:56:16.232,5 Mar 2023 23:07:26.469,670.238
58,6 Mar 2023 00:29:41.398,6 Mar 2023 00:40:48.349,666.951
59,6 Mar 2023 02:02:57.771,6 Mar 2023 02:12:52.540,594.769
60,6 Mar 2023 03:35:46.153,6 Mar 2023 03:44:21.471,515.318
61,6 Mar 2023 05:07:46.431,6 Mar 2023 05:16:11.734,505.303
62,6 Mar 2023 06:39:15.195,6 Mar 2023 06:48:51.136,575.941
63,6 Mar 2023 08:11:07.708,6 Mar 2023 08:22:03.457,655.749
64,6 Mar 2023 09:44:10.450,6 Mar 2023 09:55:28.044,677.595
65,6 Mar 2023 11:18:55.703,6 Mar 2023 11:28:48.767,593.064
66,6 Mar 2023 12:56:16.194,6 Mar 2023 13:01:25.980,309.787
67,6 Mar 2023 20:56:25.971,6 Mar 2023 21:04:36.660,490.689
68,6 Mar 2023 22:29:35.286,6 Mar 2023 22:40:27.332,652.046
69,7 Mar 2023 00:03:00.148,7 Mar 2023 00:14:17.149,677.002
70,7 Mar 2023 01:36:20.676,7 Mar 2023 01:46:40.038,619.362
71,7 Mar 2023 03:09:19.460,7 Mar 2023 03:18:13.504,534.043
72,7 Mar 2023 04:41:34.268,7 Mar 2023 04:49:52.468,498.200
73,7 Mar 2023 06:13:07.113,7 Mar 2023 06:22:18.299,551.186
