"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Mar 2023 01:11:16.040,1 Mar 2023 01:15:10.486,234.445
2,1 Mar 2023 02:44:41.772,1 Mar 2023 02:48:21.455,219.684
3,1 Mar 2023 04:17:58.919,1 Mar 2023 04:21:10.117,191.197
4,1 Mar 2023 05:50:55.332,1 Mar 2023 05:54:09.909,194.577
5,1 Mar 2023 07:23:45.146,1 Mar 2023 07:27:29.609,224.463
6,1 Mar 2023 08:57:03.192,1 Mar 2023 09:00:55.065,231.872
7,1 Mar 2023 10:31:30.668,1 Mar 2023 10:34:00.820,150.152
8,1 Mar 2023 23:11:37.345,1 Mar 2023 23:13:41.904,124.559
9,2 Mar 2023 00:44:35.362,2 Mar 2023 00:48:23.962,228.601
10,2 Mar 2023 02:18:00.258,2 Mar 2023 02:21:47.886,227.628
11,2 Mar 2023 03:51:21.579,2 Mar 2023 03:54:39.192,197.613
12,2 Mar 2023 05:24:24.031,2 Mar 2023 05:27:33.354,189.324
13,2 Mar 2023 06:57:12.470,2 Mar 2023 07:00:48.350,215.880
14,2 Mar 2023 08:30:18.797,2 Mar 2023 08:34:13.960,235.162
15,2 Mar 2023 10:04:20.179,2 Mar 2023 10:07:30.333,190.154
16,3 Mar 2023 00:17:56.217,3 Mar 2023 00:21:31.676,215.459
17,3 Mar 2023 01:51:18.438,3 Mar 2023 01:55:11.639,233.201
18,3 Mar 2023 03:24:42.583,3 Mar 2023 03:28:08.604,206.021
19,3 Mar 2023 04:57:51.357,3 Mar 2023 05:00:58.737,187.380
20,3 Mar 2023 06:30:41.279,3 Mar 2023 06:34:07.964,206.685
21,3 Mar 2023 08:03:38.775,3 Mar 2023 08:07:32.261,233.486
22,3 Mar 2023 09:37:20.062,3 Mar 2023 09:40:54.200,214.138
23,3 Mar 2023 23:51:19.803,3 Mar 2023 23:54:32.179,192.377
24,4 Mar 2023 01:24:36.718,4 Mar 2023 01:28:31.906,235.188
25,4 Mar 2023 02:58:02.284,4 Mar 2023 03:01:37.482,215.199
26,4 Mar 2023 04:31:16.882,4 Mar 2023 04:34:25.940,189.057
27,4 Mar 2023 06:04:10.682,4 Mar 2023 06:07:28.855,198.173
28,4 Mar 2023 07:37:02.301,4 Mar 2023 07:40:50.436,228.135
29,4 Mar 2023 09:10:27.300,4 Mar 2023 09:14:15.206,227.906
30,4 Mar 2023 10:45:12.266,4 Mar 2023 10:47:11.520,119.254
31,4 Mar 2023 23:24:48.713,4 Mar 2023 23:27:22.651,153.938
32,5 Mar 2023 00:57:55.548,5 Mar 2023 01:01:47.866,232.318
33,5 Mar 2023 02:31:21.075,5 Mar 2023 02:35:04.943,223.867
34,5 Mar 2023 04:04:40.476,5 Mar 2023 04:07:54.550,194.074
35,5 Mar 2023 05:37:39.812,5 Mar 2023 05:40:51.383,191.571
36,5 Mar 2023 07:10:28.568,5 Mar 2023 07:14:08.884,220.316
37,5 Mar 2023 08:43:40.387,5 Mar 2023 08:47:34.615,234.227
38,5 Mar 2023 10:17:53.791,5 Mar 2023 10:20:46.591,172.800
39,5 Mar 2023 22:58:33.173,5 Mar 2023 22:59:52.688,79.515
