"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Obstruction","Start Pass Number","Stop Pass Number","Current Condition","Worst Condition","Total Duration (sec)"
1 Mar 2023 00:00:00.000,1 Mar 2023 00:15:37.036,937.036,"Earth","10114","10114","Umbra","Umbra",945.470
1 Mar 2023 00:15:37.036,1 Mar 2023 00:15:45.470,8.434,"Earth","10114","10114","Penumbra","Umbra",945.470
1 Mar 2023 01:14:11.674,1 Mar 2023 01:14:20.146,8.473,"Earth","10115","10115","Penumbra","Umbra",2146.525
1 Mar 2023 01:14:20.146,1 Mar 2023 01:49:49.764,2129.618,"Earth","10115","10115","Umbra","Umbra",2146.525
1 Mar 2023 01:49:49.764,1 Mar 2023 01:49:58.199,8.435,"Earth","10115","10115","Penumbra","Umbra",2146.525
1 Mar 2023 02:48:24.404,1 Mar 2023 02:48:32.876,8.473,"Earth","10116","10116","Penumbra","Umbra",2146.521
1 Mar 2023 02:48:32.876,1 Mar 2023 03:24:02.494,2129.617,"Earth","10116","10116","Umbra","Umbra",2146.521
1 Mar 2023 03:24:02.494,1 Mar 2023 03:24:10.925,8.431,"Earth","10116","10116","Penumbra","Umbra",2146.521
1 Mar 2023 04:22:37.134,1 Mar 2023 04:22:45.607,8.472,"Earth","10117","10117","Penumbra","Umbra",2146.520
1 Mar 2023 04:22:45.607,1 Mar 2023 04:58:15.220,2129.613,"Earth","10117","10117","Umbra","Umbra",2146.520
1 Mar 2023 04:58:15.220,1 Mar 2023 04:58:23.654,8.434,"Earth","10117","10117","Penumbra","Umbra",2146.520
1 Mar 2023 05:56:49.865,1 Mar 2023 05:56:58.337,8.472,"Earth","10118","10118","Penumbra","Umbra",2146.520
1 Mar 2023 05:56:58.337,1 Mar 2023 06:32:27.951,2129.615,"Earth","10118","10118","Umbra","Umbra",2146.520
1 Mar 2023 06:32:27.951,1 Mar 2023 06:32:36.385,8.434,"Earth","10118","10118","Penumbra","Umbra",2146.520
1 Mar 2023 07:31:02.595,1 Mar 2023 07:31:11.067,8.472,"Earth","10119","10119","Penumbra","Umbra",2146.516
1 Mar 2023 07:31:11.067,1 Mar 2023 08:06:40.678,2129.611,"Earth","10119","10119","Umbra","Umbra",2146.516
1 Mar 2023 08:06:40.678,1 Mar 2023 08:06:49.111,8.433,"Earth","10119","10119","Penumbra","Umbra",2146.516
1 Mar 2023 09:05:15.326,1 Mar 2023 09:05:23.798,8.472,"Earth","10120","10120","Penumbra","Umbra",2146.517
1 Mar 2023 09:05:23.798,1 Mar 2023 09:40:53.410,2129.612,"Earth","10120","10120","Umbra","Umbra",2146.517
1 Mar 2023 09:40:53.410,1 Mar 2023 09:41:01.843,8.434,"Earth","10120","10120","Penumbra","Umbra",2146.517
1 Mar 2023 10:39:28.057,1 Mar 2023 10:39:36.529,8.472,"Earth","10121","10121","Penumbra","Umbra",2146.512
1 Mar 2023 10:39:36.529,1 Mar 2023 11:15:06.138,2129.610,"Earth","10121","10121","Umbra","Umbra",2146.512
1 Mar 2023 11:15:06.138,1 Mar 2023 11:15:14.569,8.431,"Earth","10121","10121","Penumbra","Umbra",2146.512
1 Mar 2023 12:13:40.788,1 Mar 2023 12:13:49.259,8.471,"Earth","10122","10122","Penumbra","Umbra",2146.510
1 Mar 2023 12:13:49.259,1 Mar 2023 12:49:18.865,2129.606,"Earth","10122","10122","Umbra","Umbra",2146.510
1 Mar 2023 12:49:18.865,1 Mar 2023 12:49:27.298,8.433,"Earth","10122","10122","Penumbra","Umbra",2146.510
1 Mar 2023 13:47:53.519,1 Mar 2023 13:48:01.990,8.471,"Earth","10123","10123","Penumbra","Umbra",2146.511
1 Mar 2023 13:48:01.990,1 Mar 2023 14:23:31.594,2129.604,"Earth","10123","10123","Umbra","Umbra",2146.511
1 Mar 2023 14:23:31.594,1 Mar 2023 14:23:40.030,8.436,"Earth","10123","10123","Penumbra","Umbra",2146.511
1 Mar 2023 15:22:06.250,1 Mar 2023 15:22:14.721,8.471,"Earth","10124","10124","Penumbra","Umbra",2146.506
1 Mar 2023 15:22:14.721,1 Mar 2023 15:57:44.324,2129.602,"Earth","10124","10124","Umbra","Umbra",2146.506
1 Mar 2023 15:57:44.324,1 Mar 2023 15:57:52.757,8.433,"Earth","10124","10124","Penumbra","Umbra",2146.506
1 Mar 2023 16:56:18.982,1 Mar 2023 16:56:27.453,8.471,"Earth","10125","10125","Penumbra","Umbra",2146.507
1 Mar 2023 16:56:27.453,1 Mar 2023 17:31:57.053,2129.601,"Earth","10125","10125","Umbra","Umbra",2146.507
1 Mar 2023 17:31:57.053,1 Mar 2023 17:32:05.489,8.436,"Earth","10125","10125","Penumbra","Umbra",2146.507
1 Mar 2023 18:30:31.713,1 Mar 2023 18:30:40.184,8.471,"Earth","10126","10126","Penumbra","Umbra",2146.503
1 Mar 2023 18:30:40.184,1 Mar 2023 19:06:09.783,2129.599,"Earth","10126","10126","Umbra","Umbra",2146.503
1 Mar 2023 19:06:09.783,1 Mar 2023 19:06:18.216,8.433,"Earth","10126","10126","Penumbra","Umbra",2146.503
1 Mar 2023 20:04:44.445,1 Mar 2023 20:04:52.916,8.470,"Earth","10127","10127","Penumbra","Umbra",2146.501
1 Mar 2023 20:04:52.916,1 Mar 2023 20:40:22.513,2129.597,"Earth","10127","10127","Umbra","Umbra",2146.501
1 Mar 2023 20:40:22.513,1 Mar 2023 20:40:30.946,8.433,"Earth","10127","10127","Penumbra","Umbra",2146.501
1 Mar 2023 21:38:57.177,1 Mar 2023 21:39:05.647,8.470,"Earth","10128","10128","Penumbra","Umbra",2146.499
1 Mar 2023 21:39:05.647,1 Mar 2023 22:14:35.243,2129.596,"Earth","10128","10128","Umbra","Umbra",2146.499
1 Mar 2023 22:14:35.243,1 Mar 2023 22:14:43.676,8.433,"Earth","10128","10128","Penumbra","Umbra",2146.499
1 Mar 2023 23:13:09.909,1 Mar 2023 23:13:18.379,8.470,"Earth","10129","10129","Penumbra","Umbra",2146.497
1 Mar 2023 23:13:18.379,1 Mar 2023 23:48:47.973,2129.594,"Earth","10129","10129","Umbra","Umbra",2146.497
1 Mar 2023 23:48:47.973,1 Mar 2023 23:48:56.406,8.433,"Earth","10129","10129","Penumbra","Umbra",2146.497
2 Mar 2023 00:47:22.641,2 Mar 2023 00:47:31.111,8.470,"Earth","10130","10130","Penumbra","Umbra",2146.495
2 Mar 2023 00:47:31.111,2 Mar 2023 01:23:00.703,2129.593,"Earth","10130","10130","Umbra","Umbra",2146.495
2 Mar 2023 01:23:00.703,2 Mar 2023 01:23:09.136,8.433,"Earth","10130","10130","Penumbra","Umbra",2146.495
2 Mar 2023 02:21:35.373,2 Mar 2023 02:21:43.843,8.470,"Earth","10131","10131","Penumbra","Umbra",2146.493
2 Mar 2023 02:21:43.843,2 Mar 2023 02:57:13.436,2129.593,"Earth","10131","10131","Umbra","Umbra",2146.493
2 Mar 2023 02:57:13.436,2 Mar 2023 02:57:21.866,8.430,"Earth","10131","10131","Penumbra","Umbra",2146.493
2 Mar 2023 03:55:48.106,2 Mar 2023 03:55:56.575,8.470,"Earth","10132","10132","Penumbra","Umbra",2146.491
2 Mar 2023 03:55:56.575,2 Mar 2023 04:31:26.164,2129.589,"Earth","10132","10132","Umbra","Umbra",2146.491
2 Mar 2023 04:31:26.164,2 Mar 2023 04:31:34.597,8.432,"Earth","10132","10132","Penumbra","Umbra",2146.491
2 Mar 2023 05:30:00.838,2 Mar 2023 05:30:09.307,8.469,"Earth","10133","10133","Penumbra","Umbra",2146.489
2 Mar 2023 05:30:09.307,2 Mar 2023 06:05:38.895,2129.588,"Earth","10133","10133","Umbra","Umbra",2146.489
2 Mar 2023 06:05:38.895,2 Mar 2023 06:05:47.327,8.432,"Earth","10133","10133","Penumbra","Umbra",2146.489
2 Mar 2023 07:04:13.571,2 Mar 2023 07:04:22.040,8.469,"Earth","10134","10134","Penumbra","Umbra",2146.488
2 Mar 2023 07:04:22.040,2 Mar 2023 07:39:51.626,2129.586,"Earth","10134","10134","Umbra","Umbra",2146.488
2 Mar 2023 07:39:51.626,2 Mar 2023 07:40:00.058,8.432,"Earth","10134","10134","Penumbra","Umbra",2146.488
2 Mar 2023 08:38:26.303,2 Mar 2023 08:38:34.772,8.469,"Earth","10135","10135","Penumbra","Umbra",2146.486
2 Mar 2023 08:38:34.772,2 Mar 2023 09:14:04.357,2129.585,"Earth","10135","10135","Umbra","Umbra",2146.486
2 Mar 2023 09:14:04.357,2 Mar 2023 09:14:12.789,8.432,"Earth","10135","10135","Penumbra","Umbra",2146.486
2 Mar 2023 10:12:39.036,2 Mar 2023 10:12:47.505,8.469,"Earth","10136","10136","Penumbra","Umbra",2146.484
2 Mar 2023 10:12:47.505,2 Mar 2023 10:48:17.088,2129.583,"Earth","10136","10136","Umbra","Umbra",2146.484
2 Mar 2023 10:48:17.088,2 Mar 2023 10:48:25.520,8.432,"Earth","10136","10136","Penumbra","Umbra",2146.484
2 Mar 2023 11:46:51.769,2 Mar 2023 11:47:00.238,8.469,"Earth","10137","10137","Penumbra","Umbra",2146.482
2 Mar 2023 11:47:00.238,2 Mar 2023 12:22:29.819,2129.581,"Earth","10137","10137","Umbra","Umbra",2146.482
