"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Mar 2023 01:16:11.882,1 Mar 2023 01:22:10.236,358.353
2,1 Mar 2023 08:51:03.135,1 Mar 2023 08:55:52.920,289.785
3,1 Mar 2023 10:21:06.999,1 Mar 2023 10:30:07.263,540.263
4,1 Mar 2023 11:56:07.497,1 Mar 2023 12:02:40.805,393.308
5,1 Mar 2023 23:15:34.343,1 Mar 2023 23:24:36.707,542.364
6,2 Mar 2023 00:49:06.416,2 Mar 2023 00:56:48.577,462.161
7,2 Mar 2023 09:54:46.704,2 Mar 2023 10:03:28.301,521.597
8,2 Mar 2023 11:28:16.627,2 Mar 2023 11:36:38.723,502.096
9,2 Mar 2023 22:49:05.489,2 Mar 2023 22:57:31.922,506.432
10,3 Mar 2023 00:22:17.526,3 Mar 2023 00:30:56.725,519.199
11,3 Mar 2023 09:28:53.055,3 Mar 2023 09:36:40.263,467.208
12,3 Mar 2023 11:01:09.541,3 Mar 2023 11:10:11.047,541.506
13,3 Mar 2023 22:23:00.793,3 Mar 2023 22:29:44.901,404.107
14,3 Mar 2023 23:55:38.441,4 Mar 2023 00:04:38.236,539.795
15,4 Mar 2023 01:29:56.868,4 Mar 2023 01:34:34.161,277.292
16,4 Mar 2023 09:03:28.890,4 Mar 2023 09:09:36.178,367.288
17,4 Mar 2023 10:34:26.481,4 Mar 2023 10:43:28.734,542.253
18,4 Mar 2023 12:10:32.625,4 Mar 2023 12:15:18.646,286.022
19,4 Mar 2023 23:28:54.553,4 Mar 2023 23:37:58.466,543.914
20,5 Mar 2023 01:02:36.434,5 Mar 2023 01:09:33.767,417.333
21,5 Mar 2023 08:39:05.250,5 Mar 2023 08:41:46.310,161.059
22,5 Mar 2023 10:07:53.431,5 Mar 2023 10:16:47.773,534.342
23,5 Mar 2023 11:42:05.128,5 Mar 2023 11:49:44.424,459.296
24,5 Mar 2023 23:02:17.745,5 Mar 2023 23:11:08.642,530.897
25,6 Mar 2023 00:35:40.344,6 Mar 2023 00:43:56.040,495.696
26,6 Mar 2023 09:41:46.527,6 Mar 2023 09:50:05.868,499.341
27,6 Mar 2023 11:14:38.621,6 Mar 2023 11:23:27.106,528.484
28,6 Mar 2023 22:35:58.912,6 Mar 2023 22:43:44.994,466.082
29,7 Mar 2023 00:08:57.638,7 Mar 2023 00:17:50.773,533.135
30,7 Mar 2023 01:44:11.645,7 Mar 2023 01:46:21.655,130.010
31,7 Mar 2023 09:16:06.750,7 Mar 2023 09:23:10.838,424.088
32,7 Mar 2023 10:47:47.293,7 Mar 2023 10:56:51.291,543.998
33,7 Mar 2023 22:10:19.388,7 Mar 2023 22:15:23.661,304.273
34,7 Mar 2023 23:42:17.205,7 Mar 2023 23:51:19.203,541.998
35,8 Mar 2023 01:16:11.886,8 Mar 2023 01:22:10.208,358.323
36,8 Mar 2023 08:51:03.149,8 Mar 2023 08:55:52.881,289.732
