"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Mar 2023 01:07:31.294,1 Mar 2023 01:18:53.175,681.881
2,1 Mar 2023 02:40:53.344,1 Mar 2023 02:52:08.580,675.235
3,1 Mar 2023 04:14:01.344,1 Mar 2023 04:25:07.297,665.952
4,1 Mar 2023 05:46:59.414,1 Mar 2023 05:58:06.380,666.966
5,1 Mar 2023 07:19:59.604,1 Mar 2023 07:31:16.589,676.985
6,1 Mar 2023 08:53:19.487,1 Mar 2023 09:04:40.931,681.445
7,1 Mar 2023 10:27:15.925,1 Mar 2023 10:38:18.180,662.254
8,1 Mar 2023 12:02:00.112,1 Mar 2023 12:12:06.827,606.714
9,1 Mar 2023 13:37:33.711,1 Mar 2023 13:46:07.875,514.164
10,1 Mar 2023 15:13:41.831,1 Mar 2023 15:20:29.000,407.169
11,1 Mar 2023 16:49:42.837,1 Mar 2023 16:55:31.295,348.458
12,1 Mar 2023 18:24:51.889,1 Mar 2023 18:31:27.636,395.747
13,1 Mar 2023 19:59:16.602,1 Mar 2023 20:07:37.702,501.100
14,1 Mar 2023 21:33:19.478,1 Mar 2023 21:43:16.745,597.267
15,1 Mar 2023 23:07:09.500,1 Mar 2023 23:18:07.092,657.591
16,2 Mar 2023 00:40:48.195,2 Mar 2023 00:52:08.891,680.696
17,2 Mar 2023 02:14:14.203,2 Mar 2023 02:25:32.404,678.201
18,2 Mar 2023 03:47:26.103,2 Mar 2023 03:58:34.004,667.901
19,2 Mar 2023 05:20:26.134,2 Mar 2023 05:31:31.533,665.399
20,2 Mar 2023 06:53:24.065,2 Mar 2023 07:04:37.958,673.893
21,2 Mar 2023 08:26:36.455,2 Mar 2023 08:37:58.286,681.831
22,2 Mar 2023 10:00:20.991,2 Mar 2023 10:11:32.041,671.050
23,2 Mar 2023 11:34:50.859,2 Mar 2023 11:45:17.492,626.633
24,2 Mar 2023 13:10:10.937,2 Mar 2023 13:19:14.628,543.691
25,2 Mar 2023 14:46:12.143,2 Mar 2023 14:53:28.554,436.411
26,2 Mar 2023 16:22:20.891,2 Mar 2023 16:28:16.259,355.368
27,2 Mar 2023 17:57:46.474,2 Mar 2023 18:03:59.036,372.562
28,2 Mar 2023 19:32:21.042,2 Mar 2023 19:40:10.858,469.816
29,2 Mar 2023 21:06:28.731,2 Mar 2023 21:16:01.639,572.908
30,2 Mar 2023 22:40:22.064,2 Mar 2023 22:51:06.472,644.408
31,3 Mar 2023 00:14:04.058,3 Mar 2023 00:25:21.447,677.389
32,3 Mar 2023 01:47:33.892,3 Mar 2023 01:58:54.428,680.537
33,3 Mar 2023 03:20:49.842,3 Mar 2023 03:32:00.417,670.575
34,3 Mar 2023 04:53:52.637,3 Mar 2023 05:04:57.464,664.827
35,3 Mar 2023 06:26:49.698,3 Mar 2023 06:38:00.494,670.796
36,3 Mar 2023 07:59:56.074,3 Mar 2023 08:11:16.742,680.668
37,3 Mar 2023 09:33:29.803,3 Mar 2023 09:44:46.855,677.052
38,3 Mar 2023 11:07:45.788,3 Mar 2023 11:18:29.086,643.298
39,3 Mar 2023 12:42:51.678,3 Mar 2023 12:52:22.674,570.996
40,3 Mar 2023 14:18:43.261,3 Mar 2023 14:26:30.750,467.489
41,3 Mar 2023 15:54:55.038,3 Mar 2023 16:01:06.146,371.108
42,3 Mar 2023 17:30:36.692,3 Mar 2023 17:36:32.950,356.258
43,3 Mar 2023 19:05:23.413,3 Mar 2023 19:12:42.091,438.678
44,3 Mar 2023 20:39:36.860,3 Mar 2023 20:48:42.659,545.799
45,3 Mar 2023 22:13:33.726,3 Mar 2023 22:24:01.707,627.981
46,3 Mar 2023 23:47:18.940,3 Mar 2023 23:58:30.533,671.593
47,4 Mar 2023 01:20:52.436,4 Mar 2023 01:32:14.225,681.790
48,4 Mar 2023 02:54:12.464,4 Mar 2023 03:05:26.118,673.654
49,4 Mar 2023 04:27:18.619,4 Mar 2023 04:38:23.938,665.319
50,4 Mar 2023 06:00:16.073,4 Mar 2023 06:11:24.153,668.080
51,4 Mar 2023 07:33:17.949,4 Mar 2023 07:44:36.341,678.392
52,4 Mar 2023 09:06:42.108,4 Mar 2023 09:18:02.646,680.538
53,4 Mar 2023 10:40:44.861,4 Mar 2023 10:51:41.587,656.725
54,4 Mar 2023 12:15:36.278,4 Mar 2023 12:25:31.851,595.572
